"Obs","GPA"
280,3.787
281,3.787
282,3.79
283,3.79
284,3.79
285,3.79
286,3.792
287,3.792
288,3.793
289,3.793
290,3.793
291,3.797
292,3.8
293,3.8
294,3.8
295,3.8
296,3.8
297,3.807
298,3.807
299,3.808
300,3.81
301,3.81
302,3.811
303,3.814
304,3.814
305,3.814
306,3.816
307,3.818
308,3.82
309,3.822
310,3.823
311,3.823
312,3.825
313,3.826
314,3.827
315,3.827
316,3.829
317,3.833
318,3.833
319,3.833
320,3.833
321,3.833
322,3.833
323,3.833
324,3.833
325,3.833
326,3.834
327,3.834
328,3.835
329,3.835
330,3.835
331,3.837
332,3.837
333,3.84
334,3.842
335,3.846
336,3.85
337,3.85
338,3.85
339,3.85
340,3.85
341,3.85
342,3.85
343,3.85
344,3.85
345,3.85
346,3.851
347,3.854
348,3.857
349,3.86
350,3.866
351,3.869
352,3.869
353,3.87
354,3.871
355,3.875
356,3.876
357,3.876
358,3.88
359,3.88
360,3.881
361,3.881
362,3.881
363,3.883
364,3.883
365,3.891
366,3.893
367,3.893
368,3.893
369,3.9
370,3.9
371,3.9
372,3.9
373,3.9
374,3.9
375,3.9
376,3.9
377,3.9
378,3.9
379,3.9
380,3.9
381,3.9
382,3.9
383,3.9
384,3.9
385,3.9
386,3.9
387,3.9
388,3.9
389,3.9
390,3.9
391,3.9
392,3.9
393,3.9
394,3.903
395,3.903
396,3.907
397,3.916
398,3.92
399,3.92
400,3.922
401,3.925
402,3.925
403,3.925
404,3.925
405,3.925
406,3.925
407,3.925
408,3.925
409,3.925
410,3.927
411,3.927
412,3.929
413,3.935
414,3.935
415,3.935
416,3.94
417,3.941
418,3.941
419,3.941
420,3.95
421,3.95
422,3.95
423,3.962
424,3.962
425,3.962
426,3.962
427,3.962
428,3.966
429,3.97
430,3.97
431,3.97
432,3.97
433,3.97
434,3.972
435,3.972
436,3.972
437,3.972
438,3.972
439,3.976
440,3.977
441,3.977
442,3.977
443,3.977
444,3.978
445,3.981
446,3.982
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,4
481,4
482,4
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,4
