"respondent","q16_system_of_government","q38_valentines_plans"
139,"3. Many improvements","3. No, nothing special"
140,"2. Some improvement",NA
141,"4. Significant changes","2. Yes, stay in"
142,"1. No changes","3. No, nothing special"
143,"2. Some improvement",NA
144,"2. Some improvement","2. Yes, stay in"
145,"4. Significant changes","1. Yes, go out"
146,"3. Many improvements","2. Yes, stay in"
147,"3. Many improvements",NA
148,"4. Significant changes",NA
149,"2. Some improvement","2. Yes, stay in"
150,"3. Many improvements","2. Yes, stay in"
151,"4. Significant changes","3. No, nothing special"
152,"4. Significant changes","1. Yes, go out"
153,"2. Some improvement","2. Yes, stay in"
154,"2. Some improvement",NA
155,"4. Significant changes","3. No, nothing special"
156,"3. Many improvements","1. Yes, go out"
157,"3. Many improvements","3. No, nothing special"
158,"3. Many improvements",NA
159,"2. Some improvement",NA
160,"3. Many improvements",NA
161,"3. Many improvements",NA
162,"2. Some improvement","3. No, nothing special"
163,"2. Some improvement","3. No, nothing special"
164,"4. Significant changes",NA
165,"2. Some improvement",NA
166,"2. Some improvement",NA
167,"3. Many improvements",NA
168,"4. Significant changes","3. No, nothing special"
169,"4. Significant changes","3. No, nothing special"
170,"2. Some improvement",NA
171,"1. No changes","9. Do not know / Refused"
172,"3. Many improvements",NA
173,"3. Many improvements","3. No, nothing special"
174,"2. Some improvement","3. No, nothing special"
175,"2. Some improvement",NA
176,"4. Significant changes",NA
177,"3. Many improvements",NA
178,"2. Some improvement",NA
179,"2. Some improvement","2. Yes, stay in"
180,"2. Some improvement",NA
181,"4. Significant changes","3. No, nothing special"
182,"3. Many improvements","3. No, nothing special"
183,"2. Some improvement","3. No, nothing special"
184,"3. Many improvements","3. No, nothing special"
185,"2. Some improvement","3. No, nothing special"
186,"4. Significant changes","9. Do not know / Refused"
187,"4. Significant changes","3. No, nothing special"
188,"2. Some improvement","3. No, nothing special"
189,"3. Many improvements",NA
190,"4. Significant changes",NA
191,"3. Many improvements","2. Yes, stay in"
192,"2. Some improvement",NA
193,"4. Significant changes","2. Yes, stay in"
194,"1. No changes","9. Do not know / Refused"
195,"3. Many improvements",NA
196,"3. Many improvements",NA
197,"2. Some improvement","2. Yes, stay in"
198,"2. Some improvement","3. No, nothing special"
199,"3. Many improvements","3. No, nothing special"
200,"3. Many improvements","1. Yes, go out"
201,"4. Significant changes",NA
202,"3. Many improvements","3. No, nothing special"
203,"2. Some improvement","1. Yes, go out"
204,"2. Some improvement","1. Yes, go out"
205,"3. Many improvements",NA
206,"3. Many improvements",NA
207,"2. Some improvement",NA
208,"1. No changes","3. No, nothing special"
209,"4. Significant changes","1. Yes, go out"
210,"2. Some improvement","1. Yes, go out"
211,"2. Some improvement","9. Do not know / Refused"
212,"4. Significant changes","3. No, nothing special"
213,"1. No changes","2. Yes, stay in"
214,"2. Some improvement","3. No, nothing special"
215,"3. Many improvements",NA
216,"3. Many improvements",NA
217,"2. Some improvement",NA
218,"3. Many improvements","2. Yes, stay in"
219,"3. Many improvements","3. No, nothing special"
220,"2. Some improvement","3. No, nothing special"
221,"4. Significant changes","3. No, nothing special"
222,"2. Some improvement","2. Yes, stay in"
223,"1. No changes","3. No, nothing special"
224,"2. Some improvement","3. No, nothing special"
225,"2. Some improvement",NA
226,"2. Some improvement","1. Yes, go out"
227,"2. Some improvement","2. Yes, stay in"
228,"3. Many improvements",NA
229,"2. Some improvement","2. Yes, stay in"
230,"4. Significant changes","1. Yes, go out"
231,"3. Many improvements","1. Yes, go out"
232,"4. Significant changes",NA
233,"4. Significant changes","9. Do not know / Refused"
234,"4. Significant changes","3. No, nothing special"
235,"3. Many improvements",NA
236,"4. Significant changes","3. No, nothing special"
237,"3. Many improvements","3. No, nothing special"
238,"2. Some improvement","2. Yes, stay in"
239,"2. Some improvement","2. Yes, stay in"
240,"2. Some improvement","2. Yes, stay in"
241,"2. Some improvement","2. Yes, stay in"
242,"3. Many improvements","3. No, nothing special"
243,"2. Some improvement","3. No, nothing special"
244,"3. Many improvements","3. No, nothing special"
245,"2. Some improvement",NA
246,"3. Many improvements","2. Yes, stay in"
247,"4. Significant changes",NA
248,"2. Some improvement",NA
249,"3. Many improvements","2. Yes, stay in"
250,"4. Significant changes","2. Yes, stay in"
251,"2. Some improvement",NA
252,"2. Some improvement","1. Yes, go out"
253,"4. Significant changes",NA
254,"2. Some improvement",NA
255,"2. Some improvement",NA
256,"2. Some improvement","1. Yes, go out"
257,"2. Some improvement",NA
258,"4. Significant changes",NA
259,"2. Some improvement","3. No, nothing special"
260,"2. Some improvement",NA
261,"4. Significant changes","1. Yes, go out"
262,"3. Many improvements","2. Yes, stay in"
263,"4. Significant changes","3. No, nothing special"
264,"3. Many improvements","2. Yes, stay in"
265,"3. Many improvements","9. Do not know / Refused"
266,"2. Some improvement","3. No, nothing special"
267,"2. Some improvement","1. Yes, go out"
268,"3. Many improvements",NA
269,"3. Many improvements","2. Yes, stay in"
270,"3. Many improvements","1. Yes, go out"
271,"2. Some improvement",NA
272,"3. Many improvements","3. No, nothing special"
273,"2. Some improvement","2. Yes, stay in"
274,"3. Many improvements","3. No, nothing special"
275,"3. Many improvements","2. Yes, stay in"
276,"3. Many improvements","3. No, nothing special"
277,"3. Many improvements",NA
278,"1. No changes",NA
279,"3. Many improvements","2. Yes, stay in"
280,"3. Many improvements","1. Yes, go out"
281,"2. Some improvement","2. Yes, stay in"
282,"2. Some improvement","2. Yes, stay in"
283,"2. Some improvement","2. Yes, stay in"
284,"3. Many improvements",NA
285,"3. Many improvements","1. Yes, go out"
286,"3. Many improvements",NA
287,"4. Significant changes","3. No, nothing special"
288,"3. Many improvements",NA
289,"3. Many improvements",NA
290,"3. Many improvements","2. Yes, stay in"
291,"3. Many improvements",NA
292,"3. Many improvements",NA
293,"2. Some improvement","3. No, nothing special"
294,"2. Some improvement","3. No, nothing special"
295,"2. Some improvement","9. Do not know / Refused"
296,"2. Some improvement","1. Yes, go out"
297,"3. Many improvements",NA
298,"3. Many improvements","3. No, nothing special"
299,"3. Many improvements","9. Do not know / Refused"
300,"2. Some improvement","2. Yes, stay in"
301,"4. Significant changes","3. No, nothing special"
302,"2. Some improvement","3. No, nothing special"
303,"2. Some improvement","3. No, nothing special"
304,"1. No changes","2. Yes, stay in"
305,"2. Some improvement","2. Yes, stay in"
306,"2. Some improvement",NA
307,"2. Some improvement","3. No, nothing special"
308,"2. Some improvement",NA
309,"4. Significant changes",NA
310,"2. Some improvement","2. Yes, stay in"
311,"4. Significant changes","2. Yes, stay in"
312,"2. Some improvement","3. No, nothing special"
313,"1. No changes","3. No, nothing special"
314,"2. Some improvement","3. No, nothing special"
315,"4. Significant changes","3. No, nothing special"
316,"2. Some improvement","2. Yes, stay in"
317,"1. No changes","3. No, nothing special"
318,"2. Some improvement","1. Yes, go out"
319,"2. Some improvement",NA
320,"3. Many improvements",NA
321,"4. Significant changes","2. Yes, stay in"
322,"3. Many improvements","2. Yes, stay in"
323,"4. Significant changes",NA
324,"2. Some improvement","2. Yes, stay in"
325,"2. Some improvement",NA
326,"2. Some improvement","3. No, nothing special"
327,"3. Many improvements",NA
328,"3. Many improvements",NA
329,"4. Significant changes",NA
330,"2. Some improvement","9. Do not know / Refused"
331,"3. Many improvements",NA
332,"2. Some improvement","3. No, nothing special"
333,"3. Many improvements","2. Yes, stay in"
334,"2. Some improvement","1. Yes, go out"
335,"2. Some improvement","3. No, nothing special"
336,"3. Many improvements","3. No, nothing special"
337,"2. Some improvement","2. Yes, stay in"
338,"2. Some improvement","1. Yes, go out"
339,"3. Many improvements","3. No, nothing special"
340,"3. Many improvements","3. No, nothing special"
341,"2. Some improvement","2. Yes, stay in"
342,"2. Some improvement",NA
343,"2. Some improvement","3. No, nothing special"
344,"3. Many improvements",NA
345,"4. Significant changes",NA
346,"3. Many improvements",NA
347,"2. Some improvement","2. Yes, stay in"
348,"2. Some improvement",NA
349,"4. Significant changes","3. No, nothing special"
350,"3. Many improvements","2. Yes, stay in"
351,"2. Some improvement","3. No, nothing special"
352,"2. Some improvement","2. Yes, stay in"
353,"1. No changes",NA
354,"3. Many improvements",NA
355,"3. Many improvements","3. No, nothing special"
356,"2. Some improvement","3. No, nothing special"
357,"2. Some improvement","1. Yes, go out"
358,"4. Significant changes",NA
359,"4. Significant changes",NA
360,"2. Some improvement",NA
361,"2. Some improvement",NA
362,"2. Some improvement","2. Yes, stay in"
363,"3. Many improvements",NA
364,"3. Many improvements","3. No, nothing special"
365,"3. Many improvements",NA
366,"2. Some improvement","2. Yes, stay in"
367,"2. Some improvement","3. No, nothing special"
368,"9. Do not know / Refused","1. Yes, go out"
369,"3. Many improvements",NA
370,"4. Significant changes","2. Yes, stay in"
371,"2. Some improvement",NA
372,"4. Significant changes","3. No, nothing special"
373,"3. Many improvements","3. No, nothing special"
374,"3. Many improvements",NA
375,"3. Many improvements","3. No, nothing special"
376,"1. No changes","3. No, nothing special"
377,"3. Many improvements","2. Yes, stay in"
378,"4. Significant changes","1. Yes, go out"
379,"4. Significant changes","1. Yes, go out"
380,"3. Many improvements","2. Yes, stay in"
381,"2. Some improvement","2. Yes, stay in"
382,"3. Many improvements",NA
383,"3. Many improvements",NA
384,"9. Do not know / Refused","1. Yes, go out"
385,"2. Some improvement","2. Yes, stay in"
386,"4. Significant changes","1. Yes, go out"
387,"2. Some improvement",NA
388,"2. Some improvement","3. No, nothing special"
389,"2. Some improvement","3. No, nothing special"
390,"3. Many improvements","2. Yes, stay in"
391,"3. Many improvements",NA
392,"4. Significant changes",NA
393,"1. No changes","2. Yes, stay in"
394,"2. Some improvement","3. No, nothing special"
395,"3. Many improvements","2. Yes, stay in"
396,"2. Some improvement","2. Yes, stay in"
397,"4. Significant changes",NA
398,"4. Significant changes","2. Yes, stay in"
399,"2. Some improvement","2. Yes, stay in"
400,"2. Some improvement","3. No, nothing special"
401,"2. Some improvement",NA
402,"2. Some improvement","2. Yes, stay in"
403,"3. Many improvements",NA
404,"2. Some improvement","2. Yes, stay in"
405,"4. Significant changes",NA
406,"1. No changes",NA
407,"2. Some improvement","3. No, nothing special"
408,"2. Some improvement","3. No, nothing special"
409,"2. Some improvement","3. No, nothing special"
410,"3. Many improvements",NA
411,"3. Many improvements","2. Yes, stay in"
412,"1. No changes",NA
413,"4. Significant changes","2. Yes, stay in"
414,"3. Many improvements","2. Yes, stay in"
415,"4. Significant changes",NA
416,"2. Some improvement","9. Do not know / Refused"
417,"4. Significant changes","2. Yes, stay in"
418,"2. Some improvement","3. No, nothing special"
419,"2. Some improvement","2. Yes, stay in"
420,"2. Some improvement","2. Yes, stay in"
421,"1. No changes",NA
422,"3. Many improvements",NA
423,"4. Significant changes","3. No, nothing special"
424,"4. Significant changes","3. No, nothing special"
425,"3. Many improvements",NA
426,"4. Significant changes","3. No, nothing special"
427,"2. Some improvement",NA
428,"2. Some improvement",NA
429,"2. Some improvement",NA
430,"3. Many improvements","2. Yes, stay in"
431,"2. Some improvement",NA
432,"3. Many improvements","2. Yes, stay in"
433,"1. No changes","1. Yes, go out"
434,"3. Many improvements",NA
435,"4. Significant changes","3. No, nothing special"
436,"2. Some improvement","3. No, nothing special"
437,"4. Significant changes","3. No, nothing special"
438,"1. No changes","2. Yes, stay in"
439,"4. Significant changes","3. No, nothing special"
440,"2. Some improvement",NA
441,"2. Some improvement","2. Yes, stay in"
442,"2. Some improvement","3. No, nothing special"
443,"3. Many improvements","2. Yes, stay in"
444,"2. Some improvement","2. Yes, stay in"
445,"2. Some improvement","1. Yes, go out"
446,"3. Many improvements",NA
447,"3. Many improvements","2. Yes, stay in"
448,"2. Some improvement","3. No, nothing special"
449,"3. Many improvements",NA
450,"3. Many improvements","2. Yes, stay in"
451,"2. Some improvement",NA
452,"2. Some improvement","2. Yes, stay in"
453,"3. Many improvements","1. Yes, go out"
454,"3. Many improvements",NA
455,"4. Significant changes","1. Yes, go out"
456,"2. Some improvement","2. Yes, stay in"
457,"3. Many improvements",NA
458,"2. Some improvement","2. Yes, stay in"
459,"2. Some improvement",NA
460,"4. Significant changes","1. Yes, go out"
461,"4. Significant changes","2. Yes, stay in"
462,"4. Significant changes","3. No, nothing special"
463,"2. Some improvement","2. Yes, stay in"
464,"3. Many improvements",NA
465,"3. Many improvements",NA
466,"1. No changes","3. No, nothing special"
467,"2. Some improvement","1. Yes, go out"
468,"4. Significant changes",NA
469,"4. Significant changes","1. Yes, go out"
470,"4. Significant changes","2. Yes, stay in"
471,"2. Some improvement",NA
472,"1. No changes","3. No, nothing special"
473,"2. Some improvement",NA
474,"2. Some improvement","2. Yes, stay in"
475,"2. Some improvement","3. No, nothing special"
476,"1. No changes","3. No, nothing special"
477,"4. Significant changes","2. Yes, stay in"
478,"2. Some improvement","1. Yes, go out"
479,"3. Many improvements",NA
480,"4. Significant changes",NA
481,"9. Do not know / Refused","3. No, nothing special"
482,"2. Some improvement",NA
483,"1. No changes","3. No, nothing special"
484,"4. Significant changes",NA
485,"2. Some improvement","2. Yes, stay in"
486,"2. Some improvement","1. Yes, go out"
487,"2. Some improvement","2. Yes, stay in"
488,"4. Significant changes","2. Yes, stay in"
489,"4. Significant changes",NA
490,"2. Some improvement","3. No, nothing special"
491,"2. Some improvement","2. Yes, stay in"
492,"3. Many improvements","2. Yes, stay in"
493,"2. Some improvement",NA
494,"2. Some improvement","2. Yes, stay in"
495,"4. Significant changes","2. Yes, stay in"
496,"3. Many improvements",NA
497,"2. Some improvement","3. No, nothing special"
498,"4. Significant changes",NA
499,"3. Many improvements","2. Yes, stay in"
500,"2. Some improvement","1. Yes, go out"
501,"2. Some improvement","3. No, nothing special"
502,"2. Some improvement","1. Yes, go out"
503,"2. Some improvement",NA
504,"2. Some improvement","3. No, nothing special"
505,"3. Many improvements","3. No, nothing special"
506,"2. Some improvement","3. No, nothing special"
507,"3. Many improvements",NA
508,"3. Many improvements","1. Yes, go out"
509,"2. Some improvement","2. Yes, stay in"
510,"4. Significant changes","3. No, nothing special"
511,"1. No changes","2. Yes, stay in"
512,"4. Significant changes",NA
513,"4. Significant changes","3. No, nothing special"
514,"2. Some improvement",NA
515,"2. Some improvement",NA
516,"3. Many improvements","1. Yes, go out"
517,"3. Many improvements","2. Yes, stay in"
518,"1. No changes",NA
519,"4. Significant changes","1. Yes, go out"
520,"4. Significant changes","3. No, nothing special"
521,"3. Many improvements","1. Yes, go out"
522,"4. Significant changes","3. No, nothing special"
523,"2. Some improvement",NA
524,"4. Significant changes",NA
525,"2. Some improvement",NA
526,"2. Some improvement","2. Yes, stay in"
527,"4. Significant changes","3. No, nothing special"
528,"3. Many improvements",NA
529,"3. Many improvements","3. No, nothing special"
530,"3. Many improvements","3. No, nothing special"
531,"3. Many improvements",NA
532,"4. Significant changes","3. No, nothing special"
533,"2. Some improvement","2. Yes, stay in"
534,"3. Many improvements","2. Yes, stay in"
535,"4. Significant changes",NA
536,"2. Some improvement",NA
537,"2. Some improvement","3. No, nothing special"
538,"4. Significant changes",NA
539,"4. Significant changes","2. Yes, stay in"
540,"3. Many improvements",NA
541,"3. Many improvements","2. Yes, stay in"
542,"1. No changes","1. Yes, go out"
543,"4. Significant changes",NA
544,"3. Many improvements",NA
545,"2. Some improvement","2. Yes, stay in"
546,"3. Many improvements","2. Yes, stay in"
547,"3. Many improvements","3. No, nothing special"
548,"1. No changes","3. No, nothing special"
549,"3. Many improvements",NA
550,"2. Some improvement","2. Yes, stay in"
551,"4. Significant changes","3. No, nothing special"
552,"2. Some improvement",NA
553,"2. Some improvement","3. No, nothing special"
554,"3. Many improvements","1. Yes, go out"
555,"2. Some improvement",NA
556,"4. Significant changes","1. Yes, go out"
557,"3. Many improvements",NA
558,"1. No changes","2. Yes, stay in"
559,"3. Many improvements","2. Yes, stay in"
560,"3. Many improvements","2. Yes, stay in"
561,"2. Some improvement","3. No, nothing special"
562,"1. No changes","1. Yes, go out"
563,"4. Significant changes","2. Yes, stay in"
564,"4. Significant changes","1. Yes, go out"
565,"4. Significant changes","2. Yes, stay in"
566,"4. Significant changes","3. No, nothing special"
567,"4. Significant changes","1. Yes, go out"
568,"3. Many improvements","3. No, nothing special"
569,"3. Many improvements",NA
570,"3. Many improvements","3. No, nothing special"
571,"3. Many improvements","2. Yes, stay in"
572,"2. Some improvement","3. No, nothing special"
573,"2. Some improvement",NA
574,"2. Some improvement","3. No, nothing special"
575,"3. Many improvements","2. Yes, stay in"
576,"2. Some improvement","2. Yes, stay in"
577,"4. Significant changes",NA
578,"3. Many improvements","2. Yes, stay in"
579,"2. Some improvement","2. Yes, stay in"
580,"4. Significant changes","9. Do not know / Refused"
581,"2. Some improvement","3. No, nothing special"
582,"1. No changes",NA
583,"3. Many improvements","2. Yes, stay in"
584,"1. No changes","3. No, nothing special"
585,"4. Significant changes",NA
586,"3. Many improvements","2. Yes, stay in"
587,"1. No changes","3. No, nothing special"
588,"1. No changes","2. Yes, stay in"
589,"3. Many improvements",NA
590,"3. Many improvements",NA
591,"4. Significant changes","3. No, nothing special"
592,"3. Many improvements","2. Yes, stay in"
593,"4. Significant changes","3. No, nothing special"
594,"3. Many improvements","2. Yes, stay in"
595,"3. Many improvements","3. No, nothing special"
596,"4. Significant changes","1. Yes, go out"
597,"2. Some improvement","3. No, nothing special"
598,"2. Some improvement","3. No, nothing special"
599,"1. No changes","2. Yes, stay in"
600,"2. Some improvement","2. Yes, stay in"
601,"3. Many improvements","3. No, nothing special"
602,"2. Some improvement","1. Yes, go out"
603,"2. Some improvement","2. Yes, stay in"
604,"2. Some improvement",NA
605,"3. Many improvements","3. No, nothing special"
606,"3. Many improvements","3. No, nothing special"
607,"2. Some improvement","2. Yes, stay in"
608,"2. Some improvement","1. Yes, go out"
609,"4. Significant changes","3. No, nothing special"
610,"2. Some improvement",NA
611,"4. Significant changes","1. Yes, go out"
612,"1. No changes","1. Yes, go out"
613,"3. Many improvements","2. Yes, stay in"
614,"2. Some improvement",NA
615,"3. Many improvements","1. Yes, go out"
616,"3. Many improvements","3. No, nothing special"
617,"3. Many improvements",NA
618,"2. Some improvement",NA
619,"3. Many improvements",NA
620,"3. Many improvements","1. Yes, go out"
621,"2. Some improvement","2. Yes, stay in"
622,"2. Some improvement",NA
623,"2. Some improvement","2. Yes, stay in"
624,"3. Many improvements",NA
625,"3. Many improvements","1. Yes, go out"
626,"2. Some improvement","2. Yes, stay in"
627,"2. Some improvement","2. Yes, stay in"
628,"2. Some improvement","2. Yes, stay in"
629,"4. Significant changes","3. No, nothing special"
630,"2. Some improvement",NA
631,"4. Significant changes",NA
632,"3. Many improvements","2. Yes, stay in"
633,"9. Do not know / Refused","1. Yes, go out"
634,"3. Many improvements",NA
635,"1. No changes","3. No, nothing special"
636,"2. Some improvement","3. No, nothing special"
637,"2. Some improvement",NA
638,"3. Many improvements","2. Yes, stay in"
639,"1. No changes","1. Yes, go out"
640,"3. Many improvements","2. Yes, stay in"
641,"3. Many improvements","3. No, nothing special"
642,"4. Significant changes",NA
643,"4. Significant changes",NA
644,"3. Many improvements","3. No, nothing special"
645,"2. Some improvement",NA
646,"3. Many improvements","1. Yes, go out"
647,"1. No changes","3. No, nothing special"
648,"2. Some improvement","2. Yes, stay in"
649,"3. Many improvements","2. Yes, stay in"
650,"2. Some improvement","2. Yes, stay in"
651,"2. Some improvement",NA
652,"4. Significant changes",NA
653,"2. Some improvement","2. Yes, stay in"
654,"2. Some improvement",NA
655,"2. Some improvement","3. No, nothing special"
656,"4. Significant changes","1. Yes, go out"
657,"2. Some improvement","2. Yes, stay in"
658,"3. Many improvements",NA
659,"1. No changes","2. Yes, stay in"
660,"2. Some improvement",NA
661,"2. Some improvement",NA
662,"2. Some improvement","2. Yes, stay in"
663,"2. Some improvement","2. Yes, stay in"
664,"2. Some improvement","2. Yes, stay in"
665,"2. Some improvement",NA
666,"4. Significant changes",NA
667,"2. Some improvement","3. No, nothing special"
668,"2. Some improvement","1. Yes, go out"
669,"2. Some improvement","3. No, nothing special"
670,"2. Some improvement","3. No, nothing special"
671,"3. Many improvements",NA
672,"3. Many improvements","3. No, nothing special"
673,"4. Significant changes","2. Yes, stay in"
674,"4. Significant changes","3. No, nothing special"
675,"2. Some improvement","3. No, nothing special"
676,"2. Some improvement",NA
677,"2. Some improvement",NA
678,"2. Some improvement","2. Yes, stay in"
679,"4. Significant changes","9. Do not know / Refused"
680,"2. Some improvement","1. Yes, go out"
681,"1. No changes","3. No, nothing special"
682,"2. Some improvement","2. Yes, stay in"
683,"1. No changes","3. No, nothing special"
684,"1. No changes","2. Yes, stay in"
685,"1. No changes","3. No, nothing special"
686,"4. Significant changes","3. No, nothing special"
687,"2. Some improvement",NA
688,"2. Some improvement","3. No, nothing special"
689,"2. Some improvement",NA
690,"3. Many improvements","2. Yes, stay in"
691,"2. Some improvement","3. No, nothing special"
692,"2. Some improvement","1. Yes, go out"
693,"3. Many improvements","3. No, nothing special"
694,"3. Many improvements",NA
695,"3. Many improvements","3. No, nothing special"
696,"3. Many improvements","3. No, nothing special"
697,"4. Significant changes",NA
698,"2. Some improvement",NA
699,"4. Significant changes","2. Yes, stay in"
700,"2. Some improvement",NA
701,"3. Many improvements",NA
702,"2. Some improvement",NA
703,"3. Many improvements",NA
704,"2. Some improvement","3. No, nothing special"
705,"2. Some improvement","2. Yes, stay in"
706,"3. Many improvements","3. No, nothing special"
707,"4. Significant changes","3. No, nothing special"
708,"2. Some improvement",NA
709,"2. Some improvement","2. Yes, stay in"
710,"4. Significant changes",NA
711,"2. Some improvement","2. Yes, stay in"
712,"3. Many improvements","3. No, nothing special"
713,"1. No changes","3. No, nothing special"
714,"4. Significant changes","2. Yes, stay in"
715,"2. Some improvement","2. Yes, stay in"
716,"3. Many improvements","3. No, nothing special"
717,"2. Some improvement","1. Yes, go out"
718,"2. Some improvement","3. No, nothing special"
719,"2. Some improvement","2. Yes, stay in"
720,"1. No changes","9. Do not know / Refused"
721,"2. Some improvement","9. Do not know / Refused"
722,"4. Significant changes",NA
723,"2. Some improvement","2. Yes, stay in"
724,"3. Many improvements","3. No, nothing special"
725,"2. Some improvement","2. Yes, stay in"
726,"2. Some improvement",NA
727,"4. Significant changes",NA
728,"3. Many improvements","3. No, nothing special"
729,"2. Some improvement","2. Yes, stay in"
730,"2. Some improvement","1. Yes, go out"
731,"3. Many improvements",NA
732,"2. Some improvement","9. Do not know / Refused"
733,"2. Some improvement",NA
734,"3. Many improvements","1. Yes, go out"
735,"2. Some improvement","3. No, nothing special"
736,"2. Some improvement","3. No, nothing special"
737,"4. Significant changes",NA
